count,key
60,<dq>
121,-
61,.
58,/
82,0
67,1
24,2
34,3
17,4
31,5
12,6
8,7
17,8
24,9
39,;
2,<capslock>
19,<comma>
59,<control>
659,<delete>
608,<down>
1,<end>
26,<escape>
1,<f1>
1,<f2>
1,<f3>
2,<f4>
2,<f5>
2,<f6>
1,<f7>
21,<function>
1001,<left>
314,<option>
521,<return>
360,<right-option>
382,<right-shift>
1015,<right>
220,<shift>
311,<space>
722,<tab>
686,<up>
29,=
8,[
33,\
6,]
44,`
345,a
47,b
212,c
132,d
236,e
77,f
74,g
61,h
161,i
35,j
69,k
149,l
76,m
194,n
166,o
120,p
28,q
246,r
279,s
256,t
63,u
88,v
258,w
71,x
32,y
39,z
57,Â§
3543,âŒ˜
